company_name,date_from,date_thru,ticker_1,ticker_2,ticker_change_date
GE AEROSPACE,1907-11-07,2018-06-25,GE,,
EXXON MOBIL CORP,1928-10-01,2020-08-28,XOM,,
INTL BUSINESS MACHINES CORP,1932-05-26,,IBM,,
COCA-COLA CO,1932-05-26,,KO,,
PROCTER & GAMBLE CO,1932-05-26,,PG,,
DU PONT (E I) DE NEMOURS,1935-11-20,2017-08-31,DD,,
RTX CORP,1975-05-01,2020-08-28,UTX,RTX,2020-04-03
3M CO,1976-08-09,,MMM,,
MERCK & CO INC,1979-06-29,,MRK,,
AMERICAN EXPRESS CO,1982-08-30,,AXP,,
MCDONALD'S CORP,1985-10-30,,MCD,,
BOEING CO,1987-03-12,,BA,,
DISNEY (WALT) CO,1991-05-06,,DIS,,
CATERPILLAR INC,1991-05-06,,CAT,,
JOHNSON & JOHNSON,1997-03-17,,JNJ,,
WALMART INC,1997-03-17,,WMT,,
MICROSOFT CORP,1999-11-01,,MSFT,,
INTEL CORP,1999-11-01,2024-11-07,INTC,,
HOME DEPOT INC,1999-11-01,,HD,,
JPMORGAN CHASE & CO,2001-01-02,,JPM,,
PFIZER INC,2004-04-08,2020-08-28,PFE,,
VERIZON COMMUNICATIONS INC,2004-04-08,,VZ,,
CHEVRON CORP,2008-02-19,,CVX,,
CISCO SYSTEMS INC,2009-06-08,,CSCO,,
TRAVELERS COS INC,2009-06-08,,TRV,,
UNITEDHEALTH GROUP INC,2012-09-24,,UNH,,
NIKE INC  -CL B,2013-09-23,,NKE,,
VISA INC,2013-09-23,,V,,
GOLDMAN SACHS GROUP INC,2013-09-23,,GS,,
APPLE INC,2015-03-19,,AAPL,,
DUPONT DE NEMOURS INC,2017-09-01,2019-04-01,DWDP,,
WALGREENS BOOTS ALLIANCE INC,2018-06-26,2024-02-25,WBA,,
DOW INC,2019-04-02,2024-11-07,DOW,,
SALESFORCE INC,2020-08-31,,CRM,,
HONEYWELL INTERNATIONAL INC,2020-08-31,,HON,,
AMGEN INC,2020-08-31,,AMGN,,
AMAZON.COM INC,2024-02-26,,AMZN,,
NVIDIA CORP,2024-11-08,,NVDA,,
SHERWIN-WILLIAMS CO,2024-11-08,,SHW,,
